From: I. H. Malitson. Refraction and dispersion of synthetic sapphire, J. Opt. Soc. Am. 52, 1377-1379 (1962)

wl (um) ,n
0.2652,1.8336541907713
0.2734,1.8283379443249
0.2819,1.8233958712912
0.2906,1.8188529122407
0.2996,1.8146259396683
0.3088,1.8107340392221
0.3184,1.8070727867561
0.3282,1.8037001710246
0.3384,1.8005294046665
0.3488,1.797606193218
0.3596,1.7948583556898
0.3708,1.7922783218287
0.3822,1.7898977875771
0.3940,1.7876612957134
0.4062,1.7855614982672
0.4188,1.7835909341355
0.4317,1.7817557136737
0.4451,1.7800201232304
0.4589,1.7783918674129
0.4731,1.7768639548492
0.4877,1.7754296515526
0.5028,1.7740739197944
0.5183,1.7728006409159
0.5343,1.77159654957
0.5509,1.7704510850267
0.5679,1.7693740391953
0.5855,1.7683486912363
0.6036,1.7673776426943
0.6223,1.7664522407927
0.6415,1.7655741862642
0.6613,1.7647356706479
0.6818,1.7639302071173
0.7029,1.7631593986536
0.7246,1.7624204775967
0.7470,1.7617076460235
0.7701,1.7610188167222
0.7939,1.7603518573411
0.8185,1.7597020477251
0.8438,1.7590700727377
0.8699,1.7584514371955
0.8968,1.7578443092689
0.9246,1.7572447108131
0.9531,1.7566550609993
0.9826,1.7560673503734
1.013,1.7554819607026
1.044,1.7549026543964
1.077,1.7543020577053
1.110,1.7537148809896
1.144,1.7531210173803
1.180,1.7525016445033
1.216,1.7518893622591
1.254,1.7512482407284
1.293,1.7505934052563
1.333,1.749922881336
1.374,1.7492346937408
1.416,1.7485268669904
1.460,1.7477803908933
1.505,1.7470099775698
1.552,1.7461961108847
1.600,1.7453536287432
1.649,1.7444803447938
1.700,1.743555787332
1.753,1.7425767059656
1.807,1.7415587017862
1.863,1.7404799368839
1.920,1.7393566150212
1.980,1.7381454202897
2.041,1.7368826706183
2.104,1.7355442036937
2.169,1.7341255993504
2.236,1.7326222339546
2.306,1.731005850038
2.377,1.7293175502403
2.450,1.727529303643
2.526,1.7256099652811
2.604,1.7235778051244
2.685,1.7213993872004
2.768,1.7190938533712
2.854,1.7166252350906
2.942,1.7140136328789
3.033,1.7112202738027
3.127,1.7082339743157
3.223,1.705076334027
3.323,1.7016690128845
3.426,1.6980309233711
3.532,1.6941478071484
3.641,1.6900044803924
3.753,1.6855847551813
3.870,1.6807877819469
3.989,1.6757154863655
4.113,1.6702171734744
4.240,1.6643543616017
4.371,1.6580542633635
4.506,1.6512850557716
4.645,1.6440121306278
4.789,1.6361419049799
4.937,1.6276838864869
5.090,1.6185311814552
5.247,1.6086888727066
5.410,1.5979661889615
5.577,1.5864221732106
